Subject Line A;Subject Line B;Target
Join us for a free yoga class on Wednesday evenings...;Join us for a free yoga class on Wednesday evenings...;A
The local library is hosting an author reading series this...;The local library is hosting an author reading series this...;A
Calling all bookworms! Our town's annual book sale is just...;Calling All Bookworms!;B
Get ready to groove with our community band at their...;Get Ready to Groove;A
The local animal shelter needs volunteers to help care for...;The Local Animal Shelter Needs Volunteers;A
Join the fun and get creative at our town's art...;Join the Fun and Get Creative at Our Town's Art...;B
Attention all foodies! Our annual Taste of Town event is...;Attention All Foodies! Our Annual Taste of Town Event;A
The local park is hosting a free outdoor concert series...;FREE Outdoor Concert Series in Local Park;B
I’m organizing a volunteer day at the animal shelter for...;Iâ€™m organizing a volunteer day at the animal shelter for...;B
The community center is offering a free yoga class series...;Every Wednesday evening, free yoga classes start;B
Our office is participating in the annual charity walk/run next...;Charity Walk/Run Next Month;B
The school's art department is hosting an open house event...;Come See Student Artwork;A
Bookworms! Join us for a book club meeting this Wednesday...;The Nightingale;B
The local art museum is hosting an exhibit on impressionist...;Don't Miss the Opening Night Reception on March 17th for...;B
Calling all volunteers! Our community garden needs help with planting...;Calling All Volunteers!;B
The town's annual charity golf tournament is scheduled for April...;April 22nd at the country club.;B
History buffs! Join us for a guided tour of our...;Join Us for a Guided Tour of Our Historic Downtown...;B
Join us for a movie night at the town hall...;Join us for a movie night this Friday!;B
Calling all bookworms! Our library is hosting an author reading...;Author Reading Series;A
Get ready to groove at our town's annual music festival...;Get ready to groove at our town's annual music festival...;A
Attention all gardeners! Our community garden is hosting a workshop...;Attention all gardeners! Our community garden is hosting a workshop...;B
Join us for a game night at the town hall...;Join us for a game night at the town hall...;A
Join us for a morning yoga session on Saturdays at...;Join Us for Morning Yoga Session;B
Calling all bookworms! Our library is hosting an open house...;Author Talks and Book Signings;B
Get ready for a night of music and laughter at...;Get Ready for a Night of Music and Laughter;A
Don't miss out on the annual summer festival happening this...;Don't miss out on the annual summer festival happening this...;A
Take your fitness to the next level with our new...;Take Your Fitness to the Next Level;A
Join us for our annual Easter egg hunt on April...;Join us for our annual Easter egg hunt on April...;A
Calling all bookworms! Our library is hosting a summer reading...;Summer Reading Program with Prizes;B
Get fit and have fun this winter with our community's...;Get Fit and Have Fun This Winter;B
The town's annual BBQ cook-off is just around the corner!...;The town's annual BBQ cook-off is just around the corner!;A
Calling all artists and crafty folks! Our community center is...;Calling all artists and crafty folks!;B
Get ready to groove! Our annual street festival is coming...;Get Ready to Groove!;B
Calling all bookworms! The local library is hosting an author...;Calling all bookworms!;A
Don't miss out on the fun! Join us for our...;Don't Miss Out on the Fun!;A
Are you a foodie? Check out our new farmers' market...;Are you a foodie? Check out our new farmers' market...;B
Get fit this summer! Our town's recreation department is offering...;Get Fit This Summer!;A
The town's library is hosting a free book club meeting...;The town's library free book club meeting;B
I'm organizing a charity walk/run for local animal shelters on...;I'm Organizing a Charity Walk/Run for Local Animal Shelters;A
The town's museum is offering free admission every first Sunday...;Free Admission Every First Sunday of the Month;B
Our local food bank is hosting a canned goods drive...;Every Can Counts!;A
The town's recreation department is offering free yoga classes every...;The town's recreation department is offering free yoga classes every...;A
Calling all gardeners! Our community gardening club is looking for...;Calling All Gardeners!;A
Attention artists! The local art museum is hosting an open...;Attention Artists!;A
Are you a fan of music? The community band is...;Are you a fan of music? The community band is...;B
The local farmers market is back for the season! Every...;The Local Farmers Market Is Back For The Season;B
Get ready to rock with us at this weekend's concert...;Get Ready to Rock;A
Join us for a free yoga class every Sunday morning...;Join Us for Free Yoga Class Every Sunday;A
Calling all bookworms: Our library is hosting an open house...;Author Talks;A
Don't miss our annual summer festival, happening this weekend at...;Don't Miss Our Annual Summer Festival This Weekend!;B
The community center is offering a free art class every...;The Community Center Offers Free Art Classes;B
Join us for a charity bike ride next month to...;Join us for a charity bike ride;A
Every Friday night, come out and enjoy our downtown movie...;Every Friday Night;A
Join us for a free yoga class this Sunday at...;Join Us for a Free Yoga Class This Sunday at...;A
The town's annual Earth Day celebration is just around the...;The Town's Annual Earth Day Celebration;B
Calling all bookworms! Our local bookstore is hosting an author...;Author Signing Event on March 17th;B
Get ready for a night of stargazing with our astronomy...;Get Ready for Stargazing this Friday;A
Join us for a fun-filled afternoon of scavenger hunting on...;Join us for a fun-filled afternoon of scavenger hunting on...;A
Free Yoga Classes: Join us for a series of free...;Free Yoga Classes;A
Book Club Looking for Members: We're starting a new book...;Book Club Looking for Members;A
Volunteer Opportunity: Help out at our community garden by volunteering...;Volunteer Opportunity: Help out at our community garden;A
Language Exchange: Practice a new language or help someone improve...;Practice a new language or help someone improve theirs through...;B
Movie Night: Join us for a free movie night at...;Movie Night;B
Art Class for Kids: Sign your little ones up for...;Art Class for Kids;A
Join us for a free yoga class this Saturday at...;Join Us For A Free Yoga Class This Saturday;B
The local animal shelter is hosting an adoption fair this...;Come Meet Some Furry Friends;A
Get ready for summer with our annual swim lesson series...;Get Ready for Summer with Our Annual Swim Lesson Series;B
"Our monthly book club will be discussing ""The Great Gatsby""...";"""The Great Gatsby"" this Thursday at the library";A
The town's annual BBQ cook-off is just around the corner!...;The Town's Annual BBQ Cook-Off Is Just Around the Corner;B
Join us for a free outdoor movie night this Friday...;Join us for a free outdoor movie night this Friday;A
Join us for a free yoga class this Saturday from...;Free Yoga Class This Saturday;A
Calling all artists! The local art museum is hosting an...;Calling all artists!;B
Don't miss out on our annual summer concert series starting...;Don't miss out on our annual summer concert series;A
The local food bank is in need of donations of...;The local food bank needs your help.;B
Join us for a free yoga class on Thursdays at...;Join Us For Free Yoga Class;A
The town's annual summer concert series is coming up -...;The Town's Annual Summer Concert Series;B
Get ready to shop 'til you drop with our new...;Get Ready to Shop 'til You Drop;A
Our local animal shelter needs volunteers to help care for...;Our local animal shelter needs volunteers;B
Join the fun at our annual town fair on September...;Join the fun at our annual town fair on September...;B
The community arts center is offering free painting classes every...;The community arts center is offering free painting classes every...;A
Our local library is hosting an author reading series starting...;Author Reading Series Starting in October;A
Free Gardening Workshop: Learn how to start your own garden...;Free Gardening Workshop: Learn to Start Your Own Garden;B
Join us for a free outdoor movie night on Friday...;Free Outdoor Movie Night at the Park Gazebo!;A
Calling all bookworms! Our community library is hosting an author...;Author Reading Series;B
Get ready to rock out with our free outdoor concert...;Get Ready to Rock Out with Our Free Outdoor Concert;B
Free Yoga Classes: Join us for a series of free...;Free Yoga Classes;B
The local animal shelter is looking for volunteers to help...;The local animal shelter is looking for volunteers;B
Museum After Dark: Enjoy extended hours and special exhibits on...;Enjoy extended hours and special exhibits on Friday nights from...;A
Community Garden Plot Available: Get your hands dirty and grow...;Get Your Hands Dirty and Grow Your Own Food;A
Book Drive: Donate gently used books to support literacy programs...;Donate Gently Used Books;B
Free Concert Series: Enjoy live music every Saturday from June...;Free Concert Series: Enjoy live music every Saturday from June...;A
Public Library hosting a movie night on 'The Princess Bride'...;The Princess Bride Movie Night;A
The local park is offering free yoga classes every Saturday...;The local park is offering free yoga classes every Saturday...;A
Join us for our annual summer concert series at City...;Join us for our annual summer concert series this Friday...;B
The Community Center is hosting a free art class every...;Every Tuesday Evening: Free Art Class at the Community Center;A
Join us for our annual charity bake sale this Saturday...;Annual Charity Bake Sale This Saturday;B
Want to learn how to cook a new cuisine? Join...;Explore Flavors from Around the World!;A
The local library is hosting an author reading series, featuring...;Author Reading Series;A
Get ready to rock out at our community karaoke night...;Rock out at our community karaoke night on Friday!;B
The neighborhood garden club is looking for volunteers to help...;Bring gloves, water, and a smile!;A
Calling all bookworms: Our monthly book club meets on the...;"Join us next week as we dive into ""The Nightingale""";B
Explore local history! Join us for a guided tour of...;Explore local history this Sunday!;B
Get creative with the kids! Our library is hosting a...;Get Creative with the Kids!;A
Don't miss out on the summer reading program! Read three...;Don't miss out on the summer reading program!;B
Join us for a night of stargazing at our local...;Stargazing Night at Local Observatory;A
Calling all bookworms! Our bookstore is hosting an author reading...;Meet the Authors and Get Your Books Signed!;A
Take a break from the heat with our free outdoor...;Take a break from the heat with our free outdoor...;B
Join us for our annual Easter egg hunt on April...;Join Us For Our Annual Easter Egg Hunt;B
Don't miss out on our summer concert series, starting June...;Don't Miss Out on Our Summer Concert Series;A
Get your fitness on this Saturday at our annual charity...;Get Your Fitness On This Saturday;A
Our town's library is hosting a book fair next weekend...;Book Fair Next Weekend;B
Join us for our annual Fourth of July fireworks display...;Join us for our annual Fourth of July fireworks display...;B
The local animal shelter is seeking volunteers to help read...;The local animal shelter is seeking volunteers to help read...;A
We're looking for people to contribute book reviews on our...;Share Your Thoughts;B
The city is launching a new initiative to promote literacy...;The City Launches New Initiative to Promote Literacy;B
Join us for a book club discussion at the library...;Join us for a book club discussion at the library...;B
The local museum is seeking volunteers to help with their...;The local museum is seeking volunteers to help with their...;A
The local animal shelter is hosting a spay/neuter clinic this...;The local animal shelter needs volunteers for spay/neuter clinic this...;A
Join us for a free outdoor movie night on Friday...;Free Outdoor Movie Night in the Park Amphitheater;A
The town's annual clean-up event is coming up this Saturday,...;The town's annual clean-up event;A
Our local library is hosting a book drive and needs...;Our Local Library Needs Your Help;A
The town's recreation department is offering free swimming lessons for...;The town's recreation department is offering free swimming lessons for...;A
Join us for a free yoga class on the town...;Free Yoga Class This Saturday;B
The annual summer concert series kicks off next week at...;Summer Concert Series Kicks Off Next Week;A
Calling all book lovers! Our library is hosting a used...;Used Book Sale This Weekend!;B
Get ready to run (or walk) at the annual charity...;Get Ready to Run at Annual Charity Fun Run;A
The community kitchen is hosting a cooking class this Thursday...;Homemade Pasta Cooking Class this Thursday;B
Join us for a free yoga class on Saturday morning...;Join us for a free yoga class on Saturday morning;A
The local library is hosting an author reading series this...;Don't Miss Out!;B
We're looking for volunteers to help with the annual charity...;We're Looking for Volunteers;A
Get ready for a summer of fun at our community...;Get Ready for Summer Fun at Our Community Pool;A
The neighborhood book club meets every third Thursday to discuss...;Join Us This Month;A
We're hosting a free movie night in the park on...;FREE Movie Night in the Park;B
Our local farmers market is open every Saturday from May...;Every Saturday from May to October, featuring fresh produce;B
The school's robotics team is hosting a hackathon this Saturday...;Join us for the school's robotics hackathon this Saturday;B
Our local animal shelter is seeking donations of pet food,...;Our Local Animal Shelter Seeks Donations;A
The school's art club will be hosting a pottery night...;Join us for pottery night this Thursday;B
Our monthly book club meeting is scheduled for next Wednesday...;The Great Gatsby by F. Scott Fitzgerald.;A
The school's soccer team will be hosting a charity game...;The school's soccer team will be hosting a charity game...;B
Join us for a free yoga class on the town...;Free Yoga Class on the Town Square this Friday at...;A
The local farmers market is looking for volunteers to help...;The local farmers market is looking for volunteers to help...;A
Our community center is hosting a movie night featuring classic...;Classic Films from the 80s;A
The town's annual charity walk/run will take place on April...;Annual Charity Walk/Run on April 15th;B
Learn how to cook a new cuisine with our cooking...;Cooking Class Series: Explore the Flavors of India;A
The local gardening club is hosting a workshop on composting...;Composting Workshop This Saturday;A
Join us for a free yoga class every Wednesday evening...;Yoga Class Every Wednesday Evening;A
The annual charity walk/run is scheduled for next Saturday starting...;ANNUAL CHARITY WALK/RUN SCHEDULED FOR NEXT SATURDAY;A
Learn how to cook international cuisine with Chef Maria's cooking...;Cook International Cuisine with Chef Maria's Class;A
The town library is hosting a book club meeting this...;This Wednesday evening at 7 PM;A
Join us for a night of stargazing at the observatory...;Join us for a night of stargazing at the observatory...;A
Get ready to groove with our free dance class for...;Get Ready to Groove;A
The local animal shelter is hosting an adoption fair this...;Meet Adorable Furry Friends;A
Join us for a morning of birdwatching in our nearby...;Join Us for a Morning of Birdwatching;A
The local art museum is hosting an exhibit on contemporary...;Don't Miss the Opening Night Reception!;B
Join us for a free art class at the community...;Join us for a free art class at the community...;A
The local animal shelter is hosting an adoption fair next...;Meet Our Furry Friends;A
Get ready for a night of stargazing at the observatory...;Get Ready for a Night of Stargazing;A
Join our volunteer day at the park next Saturday from...;Beautify Our Community Next Saturday;A
Need help with your garden? Our community's master gardener is...;FREE Consultations for Your Garden;A
Calling all foodies! The local culinary school is hosting a...;COOKING CLASS SERIES;A
Want to learn how to play an instrument? Our music...;Want to Learn How to Play an Instrument?;B
The local animal shelter is hosting a pet adoption fair,...;Pet Adoption Fair - Come Meet Your New Best Friend;A
Need help with household chores or errands? Our community's handyman...;Need Help With Household Chores Or Errands?;A
The school's book club is meeting on Thursday at 3...;"""The Giver""";A
Don't miss out on the fun - join our new...;Don't miss out on the fun - join our new...;A
Calling all artists! Our school's art show is coming up...;Calling all artists!;A
Get ready for our annual talent show on April 1st...;Get Ready for Our Annual Talent Show;A
Join us for a night of stargazing this Friday from...;Join us for a night of stargazing this Friday from...;B
The school's robotics team is hosting a STEM fair this...;STEM Fair This Saturday;A
Our school's art club will be selling handmade crafts at...;Handmade Crafts at Spring Fling;A
I'm offering a free 30-minute yoga session this Saturday morning...;I'm offering a free 30-minute yoga session this Saturday morning;A
The school's drama club is performing their spring play next...;Get Ready for an Evening of Laughter;B
Our school's gardening club will be hosting a plant sale...;This Saturday morning outside the main office building;B
The local library is hosting a book club meeting on...;The Nightingale;B
Join us for a free community concert featuring the city...;Saturday at 7:00 PM in the town square;A
The animal shelter is hosting an adoption fair this weekend...;Meet Our Furry Friends This Weekend!;B
Our local coffee shop is offering a free cup of...;Free Cup of Coffee for Canned Goods;A
The local farmers market is back for the season! Join...;The Local Farmers Market Is Back;A
Calling all bookworms! Our summer reading program starts June 15th,...;Summer Reading Program Starts June 15th;A
The annual charity walk/run is just around the corner -...;Annual Charity Walk/Run - September 22nd!;B
We're excited to announce that our local coffee shop will...;Open Mic Night Every Thursday;A
The community garden is looking for volunteers to help with...;The community garden is looking for volunteers.;A
Join us for a free yoga class every Saturday morning...;Free Yoga Class Every Saturday Morning at 9 AM;B
Don't miss our annual summer book sale on June 22nd...;Don't Miss Our Annual Summer Book Sale;A
Get ready to groove with our monthly dance party on...;Get Ready to Groove;A
Calling all gardeners! Join us for a free workshop on...;Join us for a free workshop on composting on June...;B
Mark your calendars for our annual summer festival on August...;MARK YOUR CALENDARS FOR OUR ANNUAL SUMMER FESTIVAL ON AUGUST...;A
Get ready to groove with our new line dance class...;Get Ready to Groove with Our New Line Dance Class;B
Join us for a free outdoor movie night on Friday...;Free Outdoor Movie Night in the Park;A
The local animal shelter is hosting an adoption fair this...;Come Meet Some Furry Friends;B
Join us for a free art class on Wednesdays at...;Free Art Class - All Skill Levels Welcome;B
Get ready to run with our new running club starting...;Get Ready to Run with Our New Running Club;A
The local library is hosting a book club discussion on...;The Great Gatsby Book Club Discussion;A
Our town's annual charity walk/run will take place next Saturday,...;Annual Charity Walk/Run for Children's Hospital;A
The local art museum is featuring a new exhibit by...;Don't Miss New Exhibit by Renowned Artist;B
Get ready for some friendly competition with our new trivia...;Get ready for friendly competition with trivia night every Thursday...;B
Our town's community kitchen will be hosting a free cooking...;Vegan Delights;A
The local park is hosting a free outdoor movie night...;Free Outdoor Movie Night Tonight at 7 PM;A
Calling all artists! Our town's annual art show is accepting...;Calling all artists! Our town's annual art show is accepting...;B
The community garden is looking for volunteers to help with...;Get Your Hands Dirty This Saturday;A
Attention all bookworms! Our town's library is hosting a used...;Attention all bookworms!;A
The local YMCA is offering free swim lessons for kids...;FREE Swim Lessons for Kids this Summer;B
Join us for a holiday movie night on December 22nd...;Join Us For Holiday Movie Night;A
Get ready to groove with our free outdoor concert series...;Get ready to groove with our free outdoor concert series...;A
Calling all bookworms! Our library is hosting an author reading...;Author Reading Event;A
Join us for our annual New Year's Eve party on...;Join Us for Our Annual New Year's Eve Party;B
The annual town fair is coming up on June 17th!...;The annual town fair is coming up on June 17th!;B
Calling all bookworms! Our local library is hosting a used...;Calling all bookworms!;A
Get ready to groove with us at the Summer Concert...;Get Ready to Groove;B
"The town's animal shelter is hosting a ""Clear the Shelters""...";"""Clear the Shelters Event on August 19th""";A
The annual charity walk is scheduled for next Saturday from...;Annual Charity Walk Scheduled for Next Saturday;A
The library will be hosting a free book club meeting...;Join Us for Free Book Club Meeting;A
The city's summer reading program is now open for registration!...;The city's summer reading program is now open for registration!;A
The local farmers market will be held every Saturday from...;Every Saturday from 8 AM to 1 PM on Main...;B
The city's recreation department is offering free yoga classes for...;Free Yoga Classes for Adults;B
Join us for a morning yoga class every Saturday at...;Join us for a morning yoga class every Saturday;B
Get ready to groove with our new line dance class...;Get Ready to Groove with Our New Line Dance Class;A
The town's annual summer festival is coming up on July...;The town's annual summer festival is coming up on July...;A
Learn to cook like a pro with our new cooking...;Learn to cook like a pro;A
Join us for a free outdoor movie night under the...;Outdoor Movie Night Under the Stars on June 22nd!;A
Calling all book lovers! Our local library is hosting a...;Calling All Book Lovers;B
Attention cyclists! The city's bike path will be closed from...;Attention Cyclists: Bike Path Closure from July 10th-15th;A
Calling all gardeners! Our community garden is looking for volunteers...;Calling all gardeners!;A
Attention shoppers! The local farmer's market will be open every...;Attention shoppers!;A
Calling all music lovers! Our community center is hosting a...;Free Concert Series;B
The local museum is hosting an exhibit on ancient civilizations,...;Join Us for a Fascinating Journey Through Time;A
Our school's annual talent show will be held next month,...;Our School's Annual Talent Show Next Month;A
A group of local musicians is organizing a charity concert...;Enjoy an Evening of Music;B
The city's parks department is launching a new program for...;FREE Outdoor Activities for Kids;B
Our local bookstore is hosting a book club discussion on...;Join Us for a Book Club Discussion on the Latest...;A
The city's farmers market will be open every Saturday morning,...;The City's Farmers Market;B
Join us for our annual book fair this Friday at...;Join us for our annual book fair this Friday at...;A
The annual farmers' market is scheduled for next Saturday from...;Annual Farmers' Market Scheduled for Next Saturday;B
Our local park needs volunteers to help with the spring...;Our local park needs volunteers for spring cleanup event;A
Join our community choir for an evening of music and...;Join our community choir this Friday at City Hall;B
The annual town picnic is scheduled for next Sunday from...;Annual Town Picnic Scheduled for Next Sunday;B
Join us for a free outdoor movie night on Friday,...;Free Outdoor Movie Night;B
Don't miss our annual charity walk/run event this Saturday from...;Don't Miss Our Annual Charity Walk/Run Event;A
The local library is hosting a book club meeting on...;The Nightingale Book Club Meeting;A
Get ready for our annual SummerFest celebration this July 2nd!...;Get Ready for Our Annual SummerFest Celebration This July;B
Learn how to paint like a pro with our art...;Learn to Paint Like a Pro on Saturday;A
Join us for a free yoga class on the beach...;Join us for a free yoga class on the beach...;A
Calling all bookworms! Our library is hosting an author reading...;Author Reading Series;B
Get ready to groove at our annual summer festival on...;Get Ready to Groove at Our Annual Summer Festival;A
Calling all artists! Our town is hosting an art walk...;Calling all artists!;A
Don't miss our free outdoor movie night in the park...;Don't Miss Our Free Outdoor Movie Night;B
Hosting a potluck dinner for friends and family? Consider donating...;Donating Leftovers to Local Food Bank;B
Need help with yard work or home repairs? Post an...;Need Help With Yard Work Or Home Repairs?;B
Want to learn how to cook new recipes? Join our...;Join Our Cooking Club at the Community Center;B
Looking for someone to practice yoga with? Meet up with...;Meet up with fellow yogis at the park every Saturday...;A
Have old books you no longer need or want? Donate...;Donate old books to support literacy programs;B
Need a ride to the airport or help moving heavy...;Need a ride to the airport or help moving heavy...;A
Want to learn how to play guitar or another instrument?...;Want to learn how to play guitar or another instrument?;A
Need help with a language? Our community has native speakers...;Need Help With A Language?;B
Are you an avid gardener looking for advice or assistance...;Are You an Avid Gardener Looking for Advice or Assistance...;A
Free Yoga Classes: Improve flexibility and balance while having fun!...;Free Yoga Classes;B
Looking for someone to play board games or card games?...;Looking for someone to play board games or card games;B
Do you have expertise in a particular area but want...;Do You Have Expertise In A Particular Area But Want...;A
Free Yoga Classes: Get flexible and relaxed with our free...;Free Yoga Classes;A
Book Club Meeting: Join us for a discussion on this...;"Join Us for a Discussion on ""The Alchemist""";B
Volunteer Opportunity: Help make a difference in our community by...;Volunteer Opportunity: Help make a difference in our community;A
Photography Workshop: Learn the basics of photography and take your...;Learn the basics of photography and take your skills to...;B
Game Night: Gather your friends and join us for a...;Game Night Every Friday from 6-9 PM at the community...;B
Looking for a way to give back this holiday season?...;Looking for a way to give back this holiday season;B
Calling all bookworms! The library's summer reading program is looking...;Calling all bookworms!;B
Need a new hobby or want to learn something new?...;Need a new hobby or want to learn something new?;A
Help support local artists by attending the upcoming art show...;Help Support Local Artists;A
Are you an avid gardener looking for a way to...;Are you an avid gardener looking for a way to...;A
Join us for a free yoga class this Saturday at...;Join us for a free yoga class this Saturday at...;A
Don't miss our book club meeting next Wednesday to discuss...;Don't miss our book club meeting next Wednesday;A
Get ready for summer with our swim lesson sign-ups now...;Get Ready for Summer with Swim Lesson Sign-Ups Now Open!;B
Our monthly art exhibit opens tonight at 6 PM, featuring...;Our monthly art exhibit opens tonight at 6 PM;A
Learn how to play chess like a pro at our...;How to Play Chess Like a Pro;A
Take advantage of our spring cleaning special - get 10%...;Take advantage of our spring cleaning special;B
Join us for a movie night this Friday, featuring a...;Movie Night this Friday!;B
Our annual pet adoption fair is happening this Saturday from...;Meet Your New Furry Friend!;B
Join us for a fun-filled afternoon of book club discussion...;Join us for a fun-filled afternoon of book club discussion;A
Get ready to groove with our upcoming dance party on...;Get Ready to Groove;A
Calling all crafty folks! Our DIY workshop is back in...;Calling all crafty folks! Our DIY workshop is back in...;B
Help us give back by participating in our charity walk/run...;Help Us Give Back By Participating In Our Charity Walk/Run;A
Explore the world of photography with our upcoming photo walk...;Explore the world of photography;A
Join forces with fellow book lovers at our literary meetup...;Join forces with fellow book lovers this Thursday!;A
Get your zen on during our meditation session next Wednesday,...;Get Your Zen On;A
Join us for a free yoga class on Thursdays at...;Free Yoga Class;A
Calling all bookworms! Our monthly book club meets next Wednesday...;Calling all bookworms!;A
Get creative with us this Saturday from 1-4 PM during...;Get Creative with Us this Saturday;A
Join the fun at our annual summer picnic on July...;Join the fun at our annual summer picnic;A
Are you ready for some friendly competition? Our community trivia...;Are you ready for some friendly competition?;A
Our town's annual BookFest celebration will take place on September...;BookFest Celebration;B
The local farmers' market is now open every Saturday morning...;Come Support Our Local Growers;B
I'm organizing a series of yoga classes featuring certified instructors...;I'm Organizing a Series of Yoga Classes;B
Our town's annual FilmFest celebration will take place on October...;Our Town's Annual FilmFest Celebration;A
I'm organizing a series of cooking classes featuring local chefs...;I'm organizing a series of cooking classes;A
Join our book club on Thursdays at 6 PM to...;Join Our Book Club;B
Get creative with us during our painting class every Saturday...;Get Creative with Us Every Saturday Morning;B
Take a break from the hustle and bustle of daily...;Take a Break from Daily Life and Join Our Meditation...;B
Calling all gamers! Join us for board game night every...;Calling all gamers! Join us for board game night every...;B
Learn how to cook up a storm with our cooking...;Cooking Class Every Tuesday Afternoon;B
Take the leap and join our yoga class on Sundays...;Take The Leap;B
Hosting a book club meeting next Wednesday to discuss our...;The Nightingale;B
Looking for someone to help with pet-sitting duties while I'm...;Looking for someone to help with pet-sitting duties while I'm...;A
Free knitting class at the library next Thursday! Learn basic...;Free Knitting Class at the Library Next Thursday;A
Join us for a morning of bird-watching at the nature...;Join us for a morning of bird-watching at the nature...;A
Hosting a game night next Friday! Come play board games...;Hosting a game night next Friday! Come play board games...;B
Join us for a free yoga class every Saturday at...;Join us for free yoga class every Saturday;A
The local bookstore is hosting an author reading series this...;The local bookstore is hosting an author reading series this...;B
Get creative with our new art classes on Thursdays at...;Get Creative with Our New Art Classes;B
Our annual summer festival will be held on July 14th!...;Our Annual Summer Festival;B
Learn to cook like a pro with our free cooking...;Learn to cook like a pro;B
Join us for a guided nature walk every Sunday at...;Every Sunday at 10 AM in the nearby woods;B
The city is hosting a free outdoor movie night on...;The City Is Hosting A Free Outdoor Movie Night;A
Join us for a free yoga class on the beach...;Join us for a free yoga class on the beach...;A
Calling all bookworms! Our library is hosting an author reading...;Don't Miss Your Chance to Meet Bestselling Authors;B
Get creative with us at our art workshop this weekend!...;Get Creative With Us This Weekend!;A
Help make a difference in our community by volunteering for...;Make a difference in our community;B
Don't miss out on our summer concert series starting next...;Don't miss out on our summer concert series starting next...;A
Learn how to play chess like a pro with our...;Learn to Play Chess Like a Pro;B
Calling all bookworms! The town library is hosting a used...;Used Book Sale This Saturday;A
Get ready to groove at the annual summer concert series,...;Get Ready to Groove at the Annual Summer Concert Series;A
The town's community garden is looking for volunteers! Join us...;The town's community garden needs volunteers!;B
Don't miss out on the annual farmers' market, happening every...;Don't Miss Out on the Annual Farmers' Market;A
Calling all history buffs! The museum is hosting a special...;The museum is hosting a special exhibit on our town's...;A
Join us for a free yoga class this Sunday at...;Join Us For Free Yoga Class This Sunday;A
Calling all music lovers! The local band will be performing...;The local band will be performing live at the town...;A
Learn how to cook like a pro with our cooking...;Cook Like A Pro This Saturday;A
Get ready for a night of comedy and laughter as...;Get Ready for a Night of Comedy;B
Calling all history buffs! Join us for a guided tour...;Calling all history buffs!;A
Join us for a FREE outdoor concert this Friday at...;FREE Outdoor Concert This Friday;A
Get ready to sweat with our new fitness class starting...;Get Ready to Sweat with Our New Fitness Class;A
Calling all bookworms! Our town's library is hosting an author...;Calling all bookworms!;A
It's time to get creative! Join our art workshop this...;It's time to get creative!;A
Don't miss out on our annual farmers' market, happening every...;Don't Miss Out on Our Annual Farmers' Market;B
Calling all history buffs! Our town museum is hosting a...;Calling all history buffs! Our town museum is hosting a...;A
Join us for a FREE outdoor movie night this Friday...;FREE Outdoor Movie Night This Friday at 8 PM!;A
The local animal shelter is hosting a pet adoption fair...;Pet Adoption Fair This Saturday;A
Our favorite yoga instructor, Sarah, will be offering free classes...;Free classes for beginners next Wednesday evening;A
The school's robotics team is hosting a fundraiser car wash...;Saturday Car Wash for Robotics Team;A
Our local bookstore will be offering a free book club...;"""Free Book Club Meeting Next Tuesday""";B
The community garden is hosting an open house this Saturday...;The Community Garden Open House This Saturday;B
Bookworms! Join us for a book club meeting at the...;Bookworms Join Us;A
Get ready to groove with us at the town's annual...;Get Ready to Groove;A
Calling all gardeners! Our community garden is looking for volunteers...;Calling all gardeners!;B
Attention shoppers! The local farmers market will be open every...;Attention Shoppers!;B
Join the fun at our town's annual 4th of July...;Join the Fun at Our Town's Annual 4th of July...;B
Are you an artist or crafty person? We're hosting a...;Are you an artist or crafty person?;B
Attention cyclists! Our town is launching a new bike-share program...;Attention Cyclists;B
Looking for a new hobby? Join our local photography club...;Join Our Local Photography Club;B
Need help with yard work this spring? Our community gardening...;Need Help With Yard Work This Spring?;A
Get ready to groove! The annual summer concert series kicks...;Get Ready to Groove!;A
Are you an avid reader looking for new book recommendations?...;Are you an avid reader looking for new book recommendations?;A
Want to make a difference in your community? Our volunteer...;Want to Make a Difference in Your Community?;B
Calling all art lovers! The local art museum is hosting...;Art Lovers Rejoice: Live Music and Exclusive Exhibits;B
Join us for a free yoga class this Saturday at...;Join us for free yoga this Saturday at 10 AM!;A
Calling all book lovers! Our monthly book club meets next...;Calling all book lovers!;B
Get ready for summer with a free swim lesson this...;Get Ready for Summer with a Free Swim Lesson;B
Join us for a community clean-up day on June 15th...;Join Us for a Community Clean-up Day;A
Calling all artists! Our local art studio is offering free...;Calling All Artists!;B
Explore the world of pottery with our upcoming workshop at...;Explore the world of pottery with our upcoming workshop at...;B
Get ready for a night out on the town! Our...;Get ready for a night out on the town!;A
Calling all book lovers! Join us at the library's used...;Calling all book lovers! Join us at the library's used...;B
Take your fitness routine to new heights with our aerial...;Take Your Fitness Routine To New Heights;B
It's time to get creative! Our art studio is offering...;It's Time to Get Creative!;A
Join us at the farmers market this Saturday to support...;Join Us at the Farmers Market This Saturday;A
"The local animal shelter is hosting a ""Paws and Relax""...";Paws and Relax Adoption Fair this Saturday;A
Join us for a free outdoor yoga class on the...;Free Outdoor Yoga Class in the Park;A
The community choir is holding auditions this week at the...;If you love to sing, come show off your skills...;A
We're hosting a town-wide garage sale on May 15th. Register...;We're Hosting A Town-Wide Garage Sale;B
Join us for a free movie night under the stars...;Join us for a free movie night under the stars...;A
The local library is hosting a book drive to benefit...;The Local Library Is Hosting A Book Drive;B
